English,French,German,Spanish
Break a leg,Bonne chance,Viel Glück,Buena suerte
Why did the chicken cross the road?,Pourquoi le poulet a traversé la route?,Warum ging das Huhn über die Straße?,Por qué cruzó el pollo la calle?
Knock knock,Toc toc,Klopf klopf,Toc toc
Piece of cake,Facile comme tout,Kinderspiel,Pan comido
Once in a blue moon,Une fois tous les trente-six du mois,Alle Jubeljahre,De uvas a peras
Spill the beans,Dévoiler le secret,Die Katze aus dem Sack lassen,Revelar el secreto
Let the cat out of the bag,Lâcher le chat du sac,Die Katze aus dem Sack lassen,Revelar el secreto
Hit the sack,Aller au lit,Ins Bett gehen,Ir a la cama
Cost an arm and a leg,Coûter les yeux de la tête,Ein Vermögen kosten,Costar un ojo de la cara
Bite the bullet,Prendre son courage à deux mains,In den sauren Apfel beißen,Aceptar el reto
Raining cats and dogs,Il pleut des cordes,Es regnet in Strömen,Llover a cántaros
Under the weather,Pas dans son assiette,Unter dem Wetter leiden,Sentirse mal
Cut corners,Faire des économies,Abkürzungen nehmen,Hacer algo mal por ahorrar tiempo
Back to square one,Retour à la case départ,Zurück auf Feld eins,Volver a empezar
Burn the midnight oil,Travailler tard dans la nuit,Die Nacht durcharbeiten,Trabajar hasta tarde
Kick the bucket,Casser sa pipe,Den Löffel abgeben,Estirar la pata
Hit the nail on the head,Mettre le doigt dessus,Den Nagel auf den Kopf treffen,Dar en el clavo
Let sleeping dogs lie,Laisser les chiens dormir,Schlafende Hunde soll man nicht wecken,No remover el pasado
The ball is in your court,La balle est dans ton camp,Der Ball liegt bei dir,La pelota está en tu tejado
Best of both worlds,Le meilleur des deux mondes,Das Beste aus beiden Welten,Lo mejor de ambos mundos
A blessing in disguise,Une bénédiction déguisée,Ein Glück im Unglück,Una bendición disfrazada
Barking up the wrong tree,Se tromper de cible,Auf dem falschen Dampfer sein,Ladrar al árbol equivocado
Burn bridges,Brûler des ponts,Brücken abbrechen,Quemar puentes
Don't count your chickens before they hatch,Ne vendez pas la peau de l'ours avant de l'avoir tué,Man soll den Tag nicht vor dem Abend loben,No vendas la piel del oso antes de cazarlo
Every cloud has a silver lining,À quelque chose malheur est bon,Jede Wolke hat einen Silberstreif,No hay mal que por bien no venga
